,date_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_true,volume_false,vdiff(false-true),side,original_volume,last_fill_volume,accumulated_fill_volume
0,2024-04-01 00:00:00,71363.0,71388.0,71200.0,71323.7,1551.338,110606257.2126,21436,576.616,41113278.3293,69492978.8833,41113278.3293,-28379700.554000005,SELL,5403752.0,5403752.0,5403752.0
1,2024-04-01 00:05:00,71323.6,71339.7,71193.2,71295.3,630.072,44897386.5646,11151,201.764,14377768.5714,30519617.9932,14377768.5714,-16141849.4218,0,0.0,0.0,0.0
2,2024-04-01 00:10:00,71295.2,71295.3,71204.9,71230.0,451.267,32148947.9925,6729,167.854,11957772.9927,20191174.9998,11957772.9927,-8233402.007099999,0,0.0,0.0,0.0
3,2024-04-01 00:15:00,71230.0,71286.6,71182.5,71286.6,623.674,44427642.2208,8418,330.932,23579464.8499,20848177.3709,23579464.8499,2731287.4789999984,0,0.0,0.0,0.0
4,2024-04-01 00:20:00,71286.5,71286.9,71229.7,71261.4,202.889,14459060.9834,5048,81.038,5775294.5043,8683766.4791,5775294.5043,-2908471.9748,0,0.0,0.0,0.0
5,2024-04-01 00:25:00,71261.4,71270.0,71143.3,71150.7,532.606,37908429.678,8003,114.026,8115935.7415,29792493.9365,8115935.7415,-21676558.195,0,0.0,0.0,0.0
6,2024-04-01 00:30:00,71150.7,71209.1,71139.0,71166.0,264.013,18790387.4166,6033,133.185,9479666.5632,9310720.8534,9479666.5632,168945.70980000123,SELL,235224301.2,18148710.4,235224301.2
7,2024-04-01 00:35:00,71166.0,71166.0,71060.0,71093.0,686.922,48838097.0358,10654,243.211,17291952.6513,31546144.3845,17291952.6513,-14254191.733200002,0,0.0,0.0,0.0
8,2024-04-01 00:40:00,71093.0,71093.0,70935.5,71003.2,827.661,58770521.015,13896,367.646,26105272.8178,32665248.1972,26105272.8178,-6559975.3794,0,0.0,0.0,0.0
9,2024-04-01 00:45:00,71003.3,71146.3,70956.3,71131.0,597.26,42445964.1076,8820,398.526,28321646.0332,14124318.0744,28321646.0332,14197327.9588,0,0.0,0.0,0.0
10,2024-04-01 00:50:00,71131.0,71139.9,71070.4,71127.0,330.88,23525531.9686,4799,176.748,12566736.4605,10958795.5081,12566736.4605,1607940.9524000008,0,0.0,0.0,0.0
